日期,起点距离(m),水位(m),水深(m),测点水深(m),测点水流速(m/s),测点含沙量(kg/m3)
2022-07-07,,,,3.2,2.75,
2022-07-07,,,,3.2,2.75,
2022-07-07,,,,3.04,2.53,
2022-07-07,,,,3.04,2.5,
2022-07-07,,,,2.8,1.88,
2022-07-08,1670.0,,0.0,,0.0,
2022-07-08,1694.0,,3.25,0.65,2.06,
2022-07-08,1716.0,,3.3,,,
2022-07-08,1736.0,,3.35,0.67,2.73,
2022-07-08,1755.0,,3.45,,,
2022-07-08,1774.0,,3.5,0.7,2.97,
2022-07-08,1792.0,,3.54,,,
2022-07-08,1809.0,,3.55,0.71,3.14,
2022-07-08,1826.0,,3.55,,,
2022-07-08,1842.0,,3.6,0.72,3.16,
2022-07-08,1858.0,,3.6,,,
2022-07-08,1873.0,,3.6,0.72,3.29,
2022-07-08,1888.0,,3.6,,,
2022-07-08,1903.0,,3.6,0.72,3.11,
2022-07-08,1918.0,,3.7,,,
2022-07-08,1933.0,,3.8,0.76,2.99,
2022-07-08,1948.0,,3.9,,,
2022-07-08,1964.0,,4.0,0.8,2.83,
2022-07-08,1980.0,,4.1,,,
2022-07-08,1996.0,,4.1,0.82,2.42,
2022-07-08,2012.0,,3.8,,,
2022-07-08,2029.0,,3.5,0.7,2.06,
2022-07-08,2046.0,,3.15,,,
2022-07-08,2063.0,,2.15,0.43,1.36,
2022-07-08,2083.0,44.99,0.0,,0.0,
2022-07-08,,,,1.72,1.3,
2022-07-08,,,,2.8,1.76,
2022-07-08,,,,3.28,2.02,
2022-07-08,,,,3.2,2.16,
2022-07-08,,,,3.04,2.49,
2022-07-08,,,,2.88,2.57,
2022-07-08,,,,2.88,2.66,
2022-07-08,,,,2.88,2.54,
2022-07-08,,,,2.84,2.49,
2022-07-08,,,,2.8,2.45,
2022-07-08,,,,2.68,2.32,
2022-07-08,,,,2.6,1.68,
2022-07-09,1674.0,,0.0,,0.0,
2022-07-09,1694.0,,2.36,0.47,1.17,
2022-07-09,1716.0,,2.65,,,
2022-07-09,1736.0,,2.36,0.61,1.5,
2022-07-09,1755.0,,2.65,,,
2022-07-09,1774.0,,3.05,0.6,1.64,
2022-07-09,1792.0,,3.0,,,
2022-07-09,1809.0,,3.05,0.61,1.69,
2022-07-09,1826.0,,3.0,,,
2022-07-09,1842.0,,3.02,0.6,1.64,
2022-07-09,1858.0,,2.97,,,
2022-07-09,1873.0,,2.84,0.57,1.59,
2022-07-09,1888.0,,2.78,,,
2022-07-09,1903.0,,2.75,0.55,1.51,
2022-07-09,1918.0,,2.8,,,
2022-07-09,1933.0,,2.8,0.56,1.48,
2022-07-09,1948.0,,2.8,,,
2022-07-09,1964.0,,2.8,0.56,1.33,
2022-07-09,1980.0,,2.8,,,
2022-07-09,1996.0,,2.85,0.57,1.19,
2022-07-09,2012.0,,2.85,,,
2022-07-09,2029.0,,2.8,0.56,0.89,
2022-07-09,2046.0,,1.8,,,
2022-07-09,2063.0,,0.9,0.18,0.64,
2022-07-09,2078.0,43.5,0.0,,0.0,
2022-07-09,,,,0.72,0.59,
2022-07-09,,,,2.24,0.78,
2022-07-09,,,,2.28,1.03,
2022-07-09,,,,2.24,1.16,
2022-07-09,,,,2.24,1.17,
2022-07-09,,,,2.2,1.26,
2022-07-09,,,,2.27,1.29,
2022-07-09,,,,2.42,1.37,
2022-07-09,,,,2.44,1.44,
2022-07-09,,,,2.4,1.25,
2022-07-09,,,,2.44,1.09,
2022-07-09,,,,1.89,0.84,
2022-07-20,1672.0,,0.0,,0.0,
2022-07-20,1696.0,,3.01,0.63,1.46,
2022-07-20,1717.0,,3.03,,,
2022-07-20,1738.0,,3.13,0.63,2.06,
2022-07-20,1757.0,,3.18,,,
2022-07-20,1775.0,,3.18,0.64,2.28,
2022-07-20,1793.0,,3.2,,,
2022-07-20,1809.0,,3.21,0.64,2.5,
2022-07-20,1826.0,,3.29,,,
2022-07-20,1842.0,,3.32,0.66,2.59,
2022-07-20,1858.0,,3.36,,,
2022-07-20,1873.0,,3.39,0.68,2.81,
2022-07-20,1888.0,,3.44,,,
2022-07-20,1903.0,,3.43,0.69,2.89,
2022-07-20,1918.0,,3.46,,,
2022-07-20,1933.0,,3.52,0.7,2.89,
2022-07-20,1948.0,,3.45,,,
2022-07-20,1964.0,,3.46,0.69,2.71,
2022-07-20,1980.0,,3.44,,,
2022-07-20,1995.0,,3.51,0.7,2.4,
2022-07-20,2007.0,,3.52,,,
2022-07-20,2021.0,,3.51,0.7,2.11,
2022-07-20,2037.0,,2.6,,,
2022-07-20,2054.0,,2.04,0.41,1.36,
2022-07-20,2076.0,44.24,0.0,,0.0,
2022-07-20,,,,1.63,1.34,
2022-07-20,,,,2.81,1.61,
2022-07-20,,,,2.81,1.86,
2022-07-20,,,,2.77,1.97,
2022-07-20,,,,2.82,2.04,
2022-07-20,,,,2.74,2.11,
2022-07-20,,,,2.71,1.99,
2022-07-20,,,,2.66,2.13,
2022-07-20,,,,2.57,2.01,
2022-07-20,,,,2.54,1.75,
2022-07-20,,,,2.5,1.59,
2022-07-20,,,,2.41,1.3,
2022-07-22,1672.0,,0.0,,0.0,
2022-07-22,1696.0,,2.4,0.48,1.74,
2022-07-22,1717.0,,2.5,,,
2022-07-22,1738.0,,2.6,0.52,2.43,
2022-07-22,1757.0,,2.7,,,
2022-07-22,1775.0,,2.9,0.58,2.45,
2022-07-22,1793.0,,3.05,,,
2022-07-22,1809.0,,3.1,0.62,2.58,
2022-07-22,1826.0,,3.2,,,
2022-07-22,1842.0,,3.2,0.64,2.72,
2022-07-22,1858.0,,3.3,,,
2022-07-22,1873.0,,3.4,0.68,2.77,
2022-07-22,1888.0,,3.48,,,
2022-07-22,1903.0,,3.5,0.7,2.79,
2022-07-22,1918.0,,3.55,,,
2022-07-22,1933.0,,3.58,0.72,2.75,
2022-07-22,1946.0,,3.58,,,
2022-07-22,1961.0,,3.55,0.71,2.6,
2022-07-22,1976.0,,3.6,,,
2022-07-22,1991.0,,3.6,0.72,2.48,
2022-07-22,2006.0,,3.59,,,
2022-07-22,2021.0,,3.6,0.72,2.21,
2022-07-22,2037.0,,3.4,,,
2022-07-22,2054.0,,2.2,0.44,1.35,
2022-07-22,2076.0,44.18,0.0,,0.0,
2022-07-22,,,,1.76,1.25,
2022-07-22,,,,2.88,1.75,
2022-07-22,,,,2.88,1.99,
2022-07-22,,,,2.84,1.98,
2022-07-22,,,,2.86,2.03,
2022-07-22,,,,2.8,2.08,
2022-07-22,,,,2.72,1.98,
2022-07-22,,,,2.56,2.06,
2022-07-22,,,,2.48,1.94,
2022-07-22,,,,2.32,1.99,
2022-07-22,,,,2.08,1.83,
2022-07-22,,,,1.92,1.43,
2022-07-23,1672.0,,0.0,,0.0,
2022-07-23,1696.0,,2.6,0.2,1.68,
2022-07-23,1717.0,,2.75,,,
2022-07-23,1738.0,,2.85,0.57,2.3,
2022-07-23,1757.0,,2.9,,,
2022-07-23,1775.0,,3.0,0.6,2.42,
2022-07-23,1793.0,,3.1,,,
2022-07-23,1809.0,,3.16,0.63,2.62,
2022-07-23,1826.0,,3.25,,,
2022-07-23,1842.0,,3.3,0.66,2.76,
2022-07-23,1858.0,,3.4,,,
2022-07-23,1873.0,,3.4,0.68,2.76,
2022-07-23,1888.0,,3.55,,,
2022-07-23,1903.0,,3.6,0.72,2.81,
2022-07-23,1918.0,,3.65,,,
2022-07-23,1933.0,,3.7,0.74,2.78,
2022-07-23,1946.0,,3.7,,,
2022-07-23,1961.0,,3.7,0.74,2.84,
2022-07-23,1976.0,,3.7,,,
2022-07-23,1991.0,,3.6,0.72,2.69,
2022-07-23,2006.0,,3.6,,,
2022-07-23,2021.0,,3.7,0.74,2.33,
2022-07-23,2037.0,,3.4,,,
2022-07-23,2054.0,,2.0,0.4,1.54,
2022-07-23,2076.0,44.3,0.0,,0.0,
2022-07-23,,,,1.6,1.57,
2022-07-23,,,,2.96,1.83,
2022-07-23,,,,2.88,2.16,
2022-07-23,,,,2.96,2.33,
2022-07-23,,,,2.96,2.33,
2022-07-23,,,,2.88,2.21,
2022-07-23,,,,2.72,2.21,
2022-07-23,,,,2.64,2.28,
2022-07-23,,,,2.53,2.11,
2022-07-23,,,,2.4,1.89,
2022-07-23,,,,2.28,1.75,
2022-07-23,,,,0.8,1.3,
2023-02-26,1818.0,,0.0,,,
2023-02-26,1838.0,,0.4,0.24,0.14,
2023-02-26,1853.0,,0.45,,,
2023-02-26,1865.0,,0.5,0.1,0.24,
2023-02-26,1877.0,,0.55,,,
2023-02-26,1889.0,,0.6,0.12,0.29,
2023-02-26,1901.0,,0.6,,,
2023-02-26,1912.0,,0.65,0.13,0.43,
2023-02-26,1924.0,,0.7,,,
2023-02-26,1935.0,,1.3,0.26,0.63,
2023-02-26,1946.0,,1.8,,,
2023-02-26,1958.0,,2.1,0.42,1.03,
2023-02-26,1969.0,,2.4,,,
2023-02-26,1980.0,,2.6,0.52,1.14,
2023-02-26,1990.0,,2.7,,,
2023-02-26,2000.0,,2.7,0.54,1.19,
2023-02-26,2010.0,,2.7,,,
2023-02-26,2020.0,,2.9,0.58,1.04,
2023-02-26,2030.0,,3.2,,,
2023-02-26,2043.0,,3.8,0.76,0.64,
2023-02-26,2053.0,,3.8,,,
2023-02-26,2065.0,,3.5,0.7,0.3,
2023-02-26,2080.0,42.1,0.0,,,
2023-02-26,,,,2.8,0.16,
2023-02-26,,,,3.04,0.39,
2023-02-26,,,,2.32,0.84,
2023-02-26,,,,2.16,0.89,
2023-02-26,,,,2.08,0.83,
2023-02-26,,,,1.68,0.63,
2023-02-26,,,,1.4,0.43,
2023-02-26,,,,0.52,0.29,
2023-02-26,,,,0.48,0.15,
2023-02-26,,,,0.4,0.15,
